headline,url
Elon Musk donated more than $260 million to Trump’s campaign,https://english.elpais.com/usa/elections/2024-12-06/elon-musk-donated-more-than-260-million-to-trumps-campaign.html
Havana Club rum war escalates: Biden bans brands confiscated by Fidel Castro,https://english.elpais.com/usa/2024-12-06/havana-club-rum-war-escalates-biden-bans-brands-confiscated-by-fidel-castro.html
"Bitcoin’s tortuous path to the top: From zero to $100,000 in 16 years",https://english.elpais.com/economy-and-business/2024-12-06/bitcoins-tortuous-path-to-the-top-from-zero-to-100000-in-16-years.html
The laws that will take effect in California in 2025,https://english.elpais.com/usa/2024-12-06/the-new-laws-that-will-take-effect-in-california-in-2025.html
,https://english.elpais.com
‘Black Doves’ turns Keira Knightley into a spy: ‘We all have different versions of ourselves’,https://english.elpais.com/culture/2024-12-06/black-doves-turns-keira-knightley-into-a-spy-we-all-have-different-versions-of-ourselves.html
"Notre Dame, the cathedral that reinvented the Middle Ages  ",https://english.elpais.com/culture/2024-12-06/notre-dame-the-cathedral-that-reinvented-the-middle-ages.html
"Fame, money and ties to the Jalisco New Generation Cartel: The clues behind the murder of Jesús Pérez Alvear",https://english.elpais.com/international/2024-12-06/fame-money-and-ties-to-the-jalisco-new-generation-cartel-the-clues-behind-the-murder-of-jesus-perez-alvear.html
,https://english.elpais.com
"Michel Barnier, France’s most fleeting prime minister",https://english.elpais.com/international/2024-12-05/michel-barnier-frances-most-fleeting-prime-minister.html
Militias on US-Mexico border offer to help Trump with mass deportation plan,https://english.elpais.com/usa/2024-12-05/militias-on-us-mexico-border-offer-to-support-trumps-mass-deportation-plan.html
"Matt Gaetz, from US Attorney General candidate to Cameo",https://english.elpais.com/usa/2024-12-05/matt-gaetz-from-us-attorney-general-to-cameo-the-app-where-celebrities-set-a-price-for-themselves.html
Milei becomes a symbol of the global far right,https://english.elpais.com
,https://english.elpais.com
A single mutation in avian influenza in cows could enable human-to-human transmission,https://english.elpais.com/science-tech/2024-12-05/a-single-mutation-in-avian-influenza-in-cows-could-enable-human-to-human-transmission.html
,https://english.elpais.com
"Ridley Scott’s dizzying career at 87: Big hits, epic flops and multimillion-dollar budgets",https://english.elpais.com/culture/2024-12-05/ridley-scotts-dizzying-career-at-87-big-hits-epic-flops-and-multimillion-dollar-budgets.html
Miami Art Week 2024: The Latino artists to watch,https://english.elpais.com/culture/2024-12-05/miami-art-week-2024-the-latino-artists-to-watch.html
,https://english.elpais.com
Oldest-known remnants of archery in Europe discovered in Spain’s Bat Cave ,https://english.elpais.com/science-tech/2024-12-05/oldest-known-remnants-of-archery-in-europe-discovered-in-spains-bat-cave.html
,https://english.elpais.com
"AI to slash music and audiovisual industry revenues by over 20% by 2028, report warns",https://english.elpais.com/technology/2024-12-04/ai-to-slash-music-and-audiovisual-industry-revenues-by-over-20-by-2028-report-warns.html
The 24 DNA letters linked to autism,https://english.elpais.com
Scammers impersonate Spain’s Princess Leonor on TikTok to deceive victims worldwide,https://english.elpais.com/technology/2024-12-03/scammers-impersonate-spains-princess-leonor-on-tiktok-to-deceive-victims-worldwide.html
First ice-free day in the Arctic Ocean could come before 2030,https://english.elpais.com/climate/2024-12-03/first-ice-free-day-in-the-arctic-ocean-could-come-before-2030.html
,https://english.elpais.com
,https://english.elpais.com
"Dogecoin, a thermometer of Musk’s mood: ‘It can have a disproportionate impact’",https://english.elpais.com/economy-and-business/2024-11-24/dogecoin-a-thermometer-of-musks-mood-it-can-have-a-disproportionate-impact.html
,https://english.elpais.com
The new King Midas of television is a cowboy who lives on a ranch,https://english.elpais.com/culture/2024-12-04/the-new-king-midas-of-television-is-a-cowboy-who-lives-on-a-ranch.html
,https://english.elpais.com
,https://english.elpais.com
"Battles, social commentary and 80,000 characters: How Marvel forged the 21st century’s most worshipped gods  ",https://english.elpais.com/culture/2024-11-30/battles-social-commentary-and-80000-characters-how-marvel-forged-the-21st-centurys-most-worshipped-gods.html
Tania Bruguera: ‘Cuba has never existed and does not exist; it has always been someone’s projection’ ,https://english.elpais.com/culture/2024-11-30/tania-bruguera-cuba-has-never-existed-and-does-not-exist-it-has-always-been-someones-projection.html
Is Gwyneth Paltrow’s business empire nearing its end? Goop ends 2024 with lawsuits and layoffs,https://english.elpais.com/lifestyle/2024-12-02/is-gwyneth-paltrows-business-empire-nearing-its-end-goop-ends-2024-with-lawsuits-and-layoffs.html
,https://english.elpais.com
Trains that run through buildings and escalators with tolls: ‘The craziest city on the planet’,https://english.elpais.com/travel/2024-12-01/trains-that-run-through-buildings-and-escalators-with-tolls-the-craziest-city-on-the-planet.html
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
Texas’ war on porn,https://english.elpais.com/usa/2024-12-01/texas-war-on-porn.html
"Angela Merkel: ‘I am worried, we have to protect freedom’",https://english.elpais.com/international/2024-11-30/angela-merkel-i-am-worried-we-have-to-protect-freedom.html
,https://english.elpais.com
,https://english.elpais.com
Listen now LOS40 USA,https://los40.us/
Spotify Wrapped 2024: Most-Streamed Latin Artists Globally,https://los40.us/2024/spotify-wrapped-2024-most-streamed-latin-artists-globally-27312.html
Why Sabrina Carpenter and Barry Keoghan May Have Broken Up,https://los40.us/2024/why-sabrina-carpenter-and-barry-keoghan-may-have-broken-up-27302.html
EL PAÍS offers free Spanish lessons with Gymglish,https://english.elpais.com/economy-and-business/2021-11-15/el-pais-offers-free-spanish-lessons-with-gymglish.html
Donald Trump’s term has already begun in Texas,https://english.elpais.com/usa/elections/2024-12-03/donald-trumps-term-has-already-begun-in-texas.html
,https://english.elpais.com
,https://english.elpais.com
,https://english.elpais.com
José Mujica’s left returns to power in Uruguay,https://english.elpais.com/international/2024-11-25/jose-mujicas-left-returns-to-power-in-uruguay.html
Venezuela kicks off its most uncertain presidential campaign,https://english.elpais.com/international/2024-11-25/a-horrible-murder-compounded-by-police-negligence-how-sheyla-condor-was-killed-in-peru.html
The return of carry trade in Argentina: A financial maneuver generating 50% profit in dollars  ,https://english.elpais.com/economy-and-business/2024-11-02/the-return-of-carry-trade-in-argentina-a-financial-maneuver-generating-50-profit-in-dollars.html
An economic paradox: When savings are both a good and a bad idea,https://english.elpais.com
,https://english.elpais.com
DNA rewrites the history of Pompeii: The woman with the bracelet was a man and unrelated to the child on her lap ,https://english.elpais.com/science-tech/2024-11-07/dna-rewrites-the-history-of-pompeii-the-woman-with-the-bracelet-was-a-man-and-unrelated-to-the-child-on-her-lap.html
Nadine Burke-Harris: ‘A strong community can reverse childhood trauma’,https://english.elpais.com/health/2024-11-22/nadine-burke-harris-a-strong-community-can-reverse-childhood-trauma.html
The AI sexualization of the Vatican’s mascot and the limits of Rule 34: Everything on the internet can be ‘pornified’,https://english.elpais.com/technology/2024-11-13/the-ai-sexualization-of-the-vaticans-mascot-and-the-limits-of-rule-34-everything-on-the-internet-can-be-pornified.html
,https://english.elpais.com
A ‘don’t text your ex’ shirt and divorce rings: Fashion leads a break-up paradigm shift,https://english.elpais.com/lifestyle/2024-10-25/a-dont-text-your-ex-shirt-and-divorce-rings-fashion-leads-a-break-up-paradigm-shift.html
,https://english.elpais.com
"Climbing without a rope, between freedom and psychopathy",https://english.elpais.com/sports/2024-10-22/the-celtics-and-the-curse-of-the-champion.html
